Users,Number of Posts,Number of Followers,Number of Followings,Number of Likes for the Tenth Previous Post,Number of Likes for the Eleventh Previous Post,Number of Likes for the Twelfth Previous Post,Number of Self-Presenting Posts from Nine Previous Posts, Gender
User-475,138,66,347,5,4,3,7,f
User-476,461,"5,126","4,282",240,299,212,9,f
User-477,371,"1,104","1,098",44,46,44,5,f
User-478,181,217,394,16,17,10,9,f
User-479,284,"1,028",985,48,42,23,0,m
User-480,129,"7,232",381,1518,1622,1530,6,m
User-481,224,269,515,49,48,50,5,f
User-482,360,214,439,42,21,13,0,f
User-483,167,350,468,31,26,31,5,f
User-484,99,946,"4,921",64,51,59,3,f
User-485,327,"1,371","2,361",63,158,38,7,m
User-486,582,280,"1,177",6,12,7,8,m
User-487,"1,399",643,"2,404",9,13,9,0,f
User-488,185,"1,994","4,323",10,4,5,0,f
User-489,58,462,551,135,149,139,1,m
User-490,89,"1,025","1,640",23,35,34,6,m
User-491,101,650,"3,412",7,5,10,0,m
User-492,93,"1,342","6,050",194,200,161,5,f
User-493,76,401,"1,170",32,32,25,1,m
User-494,61,663,536,158,216,668,1,f
User-495,119,113,369,5,2,252,7,m
User-496,78,416,"2,691",129,118,186,5,m
User-497,67,"1,271","6,269",263,145,222,6,m
User-498,564,808,"2,144",84,104,142,2,m
User-499,61,"2,721","7,735",105,111,81,7,f
User-500,79,"1,927",985,123,206,176,7,f
User-501,447,313,"2,462",6,3,2,9,m
User-502,280,"4,107","4,063",577,614,660,9,m
User-503,76,"1,135",807,422,252,139,6,f
User-504,740,"2,333","2,214",110,131,126,7,m
User-505,826,"1,245",442,70,85,63,8,f
User-506,71,582,542,46,61,56,8,m
User-507,171,"5,979","4,286",322,313,344,6,m
User-508,76,"1,746","7,499",50,52,51,8,m
User-509,78,"2,057","3,128",98,116,149,9,f
User-510,52,"3,453","4,185",215,307,251,9,f
User-511,54,563,"5,582",20,9,11,3,m
User-512,128,127,376,3,3,3,9,m
User-513,150,641,"1,087",23,24,26,9,m
User-514,124,511,"3,944",51,35,33,4,m
User-515,53,642,"1,641",20,16,13,8,m
User-516,77,"2,826","7,498",40,107,75,3,m
User-517,132,323,966,16,15,18,7,f
User-518,92,127,294,3,4,6,5,f
User-519,242,"1,289","1,032",17,21,20,6,f
User-520,144,121,753,2,2,1,0,m
User-521,379,308,"4,608",11,21,18,0,m
User-522,69,602,"5,895",61,81,71,4,m
User-523,268,"5,321","3,285",132,166,96,9,f
User-524,59,330,"1,784",44,26,26,5,m
User-525,76,"7,068","7,191",1498,1956,1757,0,f
User-526,116,"5,345","2,646",183,99,127,3,m
User-527,"1,108","1,021","7,008",85,93,58,1,f
User-528,72,560,"2,625",38,33,28,8,f
User-529,56,"1,423","2,601",69,65,73,9,f
User-530,215,604,"2,750",94,84,68,0,m
User-531,166,"1,325","1,433",337,253,333,0,m
User-532,157,"8,584","6,434",1317,1039,1263,0,m
User-533,725,284,252,38,40,36,0,m
User-534,87,"1,583","2,829",212,137,136,0,m
User-535,468,830,474,163,199,171,0,m
User-536,103,145,360,6,11,13,0,m
User-537,832,579,712,64,71,71,0,m
User-538,360,732,898,123,152,241,0,m
User-539,265,261,610,47,55,59,0,m
User-540,934,278,"1,264",25,28,39,0,m
User-541,558,"1,108","1,088",91,131,138,0,m
User-542,969,183,582,24,31,141,0,m
User-543,295,983,971,163,169,190,0,m
User-544,277,210,286,93,46,80,0,f
User-545,750,238,215,45,28,36,3,f
User-546,239,535,629,225,216,198,0,m
User-547,109,"3,721","2,327",504,346,473,0,m
User-548,375,"1,320",707,211,214,210,0,f
User-549,310,"3,187","4,035",603,572,466,0,m
User-550,602,844,641,129,260,163,4,f
User-551,187,"1,319",468,40,41,83,4,m
User-552,72,305,524,32,48,42,7,m
User-553,207,248,"1,302",15,6,15,2,m
User-554,161,435,"1,585",47,31,21,2,m
User-555,213,219,150,62,27,69,9,f
User-556,245,734,"1,795",57,60,104,8,m
User-557,188,592,"3,094",9,7,3,1,m
User-558,364,707,699,35,40,31,7,m
User-559,350,"9,455","5,121",243,680,247,3,m
User-560,593,460,439,33,46,14,3,f
User-561,388,579,630,304,148,147,1,f
User-562,129,"6,225","1,966",1012,954,853,5,f
User-563,315,"4,084","2,704",205,149,104,9,f
User-564,110,240,329,47,11,23,7,f
User-565,"1,635","1,309","7,498",25,62,67,2,f
User-566,70,"3,115","2,029",57,62,60,4,m
User-567,59,341,"1,734",2,1,1,9,f
User-568,728,863,"1,196",128,74,113,6,f
User-569,"2,698","2,908",899,281,166,246,1,f
User-570,"1,356","1,161",973,31,31,37,8,f
User-571,577,981,"2,504",93,74,66,1,m
User-572,"2,429",520,753,16,44,6,0,f
User-573,263,136,277,0,1,1,2,f
User-574,700,833,586,154,99,142,0,f
User-575,"1,424","1,453",890,98,92,104,2,f
User-576,"1,266",546,284,85,69,61,2,f
User-577,509,"1,496","1,049",298,287,211,5,f
User-578,367,371,307,95,117,101,0,f
User-579,"2,980",441,801,29,26,17,0,f
User-580,177,"5,096","5,716",300,234,336,2,m
User-581,322,"7,876",401,275,247,293,0,f
User-582,370,"1,841",143,82,81,58,0,f
User-583,325,277,791,6,11,11,4,f
User-584,374,535,425,77,63,64,9,m
